Trip ID,Pickup Date,Pickup Time,Pickup Location,Dropoff Location,Passenger Count,Total Bookings,Booking Value,Trip Distance,Vehicle,Payment_type
1,2024-06-01 00:00:00,1899-12-30 00:42:50,East Village,Sunnyside,1,1.0,$21.5,5.6,UberX,Uber Pay
2,2024-06-01 00:00:00,1899-12-30 00:06:29,Lincoln Square East,Penn Station/Madison Sq West,1,1.0,$8.0,1.72,Uber Black,Cash
3,2024-06-01 00:00:00,1899-12-30 00:08:05,Sutton Place/Turtle Bay North,Upper West Side North,1,1.0,$13.0,3.41,Uber Black,Cash
4,2024-06-01 00:00:00,1899-12-30 00:28:20,Prospect-Lefferts Gardens,Brownsville,1,1.0,$9.0,1.81,UberX,Cash
5,2024-06-01 00:00:00,1899-12-30 00:38:05,Garment District,Kips Bay,1,1.0,$8.0,1.89,Uber Black,Cash
6,2024-06-01 00:00:00,1899-12-30 00:06:00,Central Harlem,Lincoln Square West,6,1.0,$14.0,3.29,UberX,Cash
7,2024-06-01 00:00:00,1899-12-30 00:40:41,Lincoln Square East,Lenox Hill West,2,1.0,$8.5,2.05,UberX,Cash
8,2024-06-01 00:00:00,1899-12-30 00:32:01,Clinton East,East Harlem South,2,1.0,$12.5,3.54,Uber Comfort,Cash
9,2024-06-01 00:00:00,1899-12-30 00:20:27,Clinton East,West Chelsea/Hudson Yards,1,1.0,$5.5,1.1,Uber Green,Cash
10,2024-06-01 00:00:00,1899-12-30 00:54:40,Lenox Hill East,Times Sq/Theatre District,2,1.0,$11.6,1.9,UberX,Uber Pay
11,2024-06-01 00:00:00,1899-12-30 00:18:51,Clinton East,Central Harlem North,1,1.0,$28.5,6.66,UberXL,Uber Pay
12,2024-06-01 00:00:00,1899-12-30 00:17:18,Kips Bay,Parkchester,2,1.0,$36.5,13.12,Uber Comfort,Uber Pay
13,2024-06-01 00:00:00,1899-12-30 00:00:31,JFK Airport,Prospect Heights,1,1.0,$37.0,12.59,Uber Green,Cash
14,2024-06-01 00:00:00,1899-12-30 00:21:51,Clinton East,Lincoln Square East,1,1.0,$5.5,1.1,UberXL,Cash
15,2024-06-01 00:00:00,1899-12-30 00:29:31,Morningside Heights,Lower East Side,1,1.0,$27.0,9,UberX,Cash
16,2024-06-01 00:00:00,1899-12-30 00:46:55,Kips Bay,Lenox Hill East,1,1.0,$10.4,2.12,Uber Black,Uber Pay
17,2024-06-01 00:00:00,1899-12-30 00:46:26,Midtown North,East Village,1,1.0,$13.0,3,UberXL,Uber Pay
18,2024-06-01 00:00:00,1899-12-30 00:14:47,Greenwich Village South,Seaport,1,1.0,$14.6,3.1,Uber Comfort,Uber Pay
19,2024-06-01 00:00:00,1899-12-30 00:42:52,East Williamsburg,Murray Hill,1,1.0,$21.3,5.63,UberXL,Uber Pay
20,2024-06-01 00:00:00,1899-12-30 00:20:49,Clinton East,Union Sq,1,1.0,$8.6,1.53,Uber Green,Uber Pay
21,2024-06-01 00:00:00,1899-12-30 00:44:00,Fort Greene,Prospect Heights,1,1.0,$8.5,1.7,Uber Comfort,Cash
22,2024-06-01 00:00:00,1899-12-30 00:04:52,Penn Station/Madison Sq West,Williamsburg (North Side),1,1.0,$25.5,5.8,UberXL,Uber Pay
23,2024-06-01 00:00:00,1899-12-30 00:50:26,Penn Station/Madison Sq West,Greenwich Village South,1,1.0,$10.5,2.5,Uber Comfort,Uber Pay
24,2024-06-01 00:00:00,1899-12-30 00:03:50,Clinton East,Seaport,1,1.0,$21.2,4.59,Uber Comfort,Uber Pay
26,2024-06-01 00:00:00,1899-12-30 00:02:46,East Village,Gramercy,1,1.0,$7.0,1.08,UberX,Cash
27,2024-06-01 00:00:00,1899-12-30 00:11:35,Clinton East,Meatpacking/West Village West,1,1.0,$7.0,1.9,Uber Green,Cash
